Home_Team,City,Country,Stadium,Capacity,Pitch
Peterborough,Peterborough,England,London Road Stadium,15142,Natural
Brentford,Brentford,England,Griffin Park,12763,Natural
Luton Town,Luton,England,Kenilworth Road Stadium,10356,Natural
Crystal Palace,London,England,Selhurst Park,26309,Natural
Nottingham Forest,Nottingham,England,The City Ground,30576,Natural
Bolton Wanderers,Bolton,England,Reebok Stadium,28723,Natural
Oxford City,Oxford,England,Court Place Farm,2000,Natural
Reading,Reading,England,Madejski Stadium,24200,Natural
Burnley,Burnley,England,Turf Moor,22546,Natural
Norwich City,Norwich,England,Carrow Road,27033,Natural
Huddersfield Town,Huddersfield,England,The John Smith's Stadium,24554,Natural
Queens Park Range.,London,England,Loftus Road,19100,Natural
Man. City,Mánchester,England,Etihad Stadium,55097,Natural
Crewe Alexandra,Crewe,England,Alexandra Stadium,10153,Natural
Bury,Greater Manchester,England,,12500,Natural
Stockport County,Cheshire,England,Edgeley Park,10852,Natural
Fulham,London,England,Craven Cottage,25700,Natural
Walsall,Walsall,England,The Banks's Stadium,11300,Natural
Preston North End,Preston,England,Deepdale Stadium,23408,Natural
Wimbledon FC,London,England,,15876,Natural
Gillingham,Gillingham,England,KRBS Priestfield Stadium,11582,Natural
Coventry City,Coventry,England,City of Coventry Stadium,32609,Natural
Rotherham United,Rotherham,England,New York Stadium,12021,Natural
Cardiff City,Cardiff,England,Cardiff City Stadium,28016,Natural
Wigan Athletic,Wigan,England,The DW Stadium,25138,Natural
Swansea City,Swansea,England,Liberty Stadium,20769,Natural
Wycombe Wanderers,Wycombe,England,Adams Park,10000,Natural
MVV Maastricht,Maastricht,Netherlands,Stadion De Geusselt,10000,Natural
FC Eindhoven,Eindhoven,Netherlands,Jan Louwers Stadion,5400,Natural
Emmen,Emmen,Netherlands,Univé Stadion,8600,Natural
Go Ahead Eagles,Deventer,Netherlands,De Adelaarshorst,10000,Natural
TOP Oss,Oss,Netherlands,Frans Heesen Stadion,4700,Natural
Dordrecht,Dordrecht,Netherlands,GN Bouw Stadion,4088,Artificial
BV Veendam ,Veendam,Netherlands,,6500,Natural
Heracles,Almelo,Netherlands,Polman Stadion,8500,Artificial
ADO Den Haag,La Haya,Netherlands,Kyocera Stadion,15000,Natural
Cambuur,Leeuwarden,Netherlands,Cambuurstadion,10000,Natural
VVV Venlo,Venlo,Netherlands,Seacon Stadion De Koel,8000,Natural
SC Telstar,Velsen,Netherlands,TATA Steel Stadion,3625,Natural
Helmond Sport,Helmond,Netherlands,Lavans Stadion,4142,Natural
HFC Haarlem ,Haarlem,Netherlands,,3442,Natural
Den Bosch,Hertogenbosch,Netherlands,BrainWash Stadion De Vliert,9000,Natural
RBC Roosendaal,Roosendaal,Netherlands,,4664,Natural
PEC Zwolle,Zwolle,Netherlands,IJsseldelta Stadion,12500,Artificial
Excelsior,Rótterdam,Netherlands,Stadion Woudestein,3541,Artificial
AZ Alkmaar,Alkmaar,Netherlands,AFAS Stadion,17023,Natural
Groningen,Groninga,Netherlands,Euroborg,22579,Natural
FC Volendam,Volendam,Netherlands,Kras Stadion,6984,Natural
NAC Breda,Breda,Netherlands,Rat Verlegh Stadion,19000,Natural
Fortuna Sittard,Sittard,Netherlands,Offermans Joosten stadion,12500,Natural
Sparta Rotterdam,Rótterdam,Netherlands,Sparta-Stadion Het Kasteel,11026,Natural
AGOVV Apeldoorn,Apeldoorn,Netherlands,,3259,Natural
De Graafschap,Doetinchem,Netherlands,Stadion De Vijverberg,12600,Natural
FC Omniworld,Almere,Netherlands,,4501,Natural
RKC Waalwijk,Waalwijk,Netherlands,Mandemakers Stadion,7508,Natural
Almere City,Almere,Netherlands,Mitsubishi Forklift-Stadion,2500,Artificial
Willem II,Tilburgo,Netherlands,Koning Willem II Stadion,14637,Natural
Jong Twente,Enschede,Netherlands,,30205,Natural
Jong Ajax,Amsterdam,Netherlands,Sportpark De Toekomst,5000,Natural
Achilles 29,Groesbeek,Netherlands,Sportpark De Heikant,4500,Natural
Jong PSV,Eindhoven,Netherlands,Sportcomplex De Herdgang,2500,Natural
Jong AZ,Alkmaar,Netherlands,,1000,Natural
Roda JC,Kerkrade,Netherlands,Parkstad Limburg Stadion,19979,Natural
NEC Nijmegen,Nijmegen,Netherlands,Goffertstadion,12500,Natural
Jong Utrecht,Utrecht,Netherlands,,450,Natural
Ajax,Ámsterdam,Netherlands,Johan Cruyff Arena,53052,Natural
Utrecht,Utrecht,Netherlands,Stadion Galgenwaard,24426,Natural
Twente 1965,Enschede,Netherlands,De Grolsch Veste,30014,Natural
PSV,Eindhoven,Netherlands,Philips Stadion,35119,Natural
Vitesse,Arnhem,Netherlands,GelreDome,28278,Natural
Feyenoord,Rótterdam,Netherlands,Stadion Feijenoord,51777,Natural
SVV,Schiedam,Netherlands,Stadion Harga,4000,Natural
Heerenveen,Heerenveen,Netherlands,Abe Lenstra Stadion,26800,Natural
Olympique,Marseille,France,Stade Vélodrome,67394,Natural
Montpellier,Montpellier,France,Stade de la Mosson,32950,Natural
Toulouse,Toulouse,France,Stadium Municipal,35472,Natural
Sporting Toulon,Toulon,France,Stade de Bon-Rencontre,8000,Natural
Nantes,Nantes,France,Stade de la Beaujoire - Louis Fonteneau,38285,Natural
Lille,Lille,France,Stade Pierre-Mauroy,49834,Natural
Sochaux,Sochaux,France,Stade Auguste-Bonal,20005,Natural
PSG,Paris,France,Parc des Princes,49691,Natural
Nice,Nice,France,Allianz Riviera,35624,Natural
Girondins Bordeaux,Bordeaux,France,Stade Matmut-Atlantique,42115,Natural
Metz,Metz,France,Stade Saint-Symphorien,26661,Natural
Monaco,Principado de Mónaco,France,Louis II,18521,Natural
Racing Paris,París,France,,14000,Natural
Auxerre,Auxerre,France,Stade de l'Abbé Deschamps,23467,Natural
Caen,Caen,France,Stade Michel d'Ornano,21215,Natural
Stade Brestois,26 route de Quimper29200 Brest,France,Stade Francis-Le Blé,15931,Natural
Saint-Étienne,Saint-Étienne,France,Stade Geoffroy-Guichard,42000,Natural
Cannes,Cannes,France,Stade Pierre de Coubertin,12800,Natural
Olympique Lyonnais,Lyon,France,Parc Olympique Lyonnais,59168,Natural
FC Mulhouse,Mulhouse,France,Stade de l'Ill,11303,Natural
Stade Rennais,Rennes,France,Roazhon Park,31127,Natural
Nancy,Tomblaine,France,Stade Marcel Picot,20087,Artificial
Le Havre,Havre,France,Stade Océane,25178,Natural
Nîmes,Nimes,France,Stade des Costières,18482,Natural
Lens,Lens,France,Stade Bollaert-Delelis,38223,Natural
Strasbourg,Strasbourg,France,Stade de la Meinau,29230,Natural
Valenciennes,Valenciennes,France,Stade du Hainaut,24926,Natural
FC Martigues,Martigues,France,Stade Francis Turcan,11500,Natural
Angers SCO,Angers,France,Stade Raymond-Kopa,17835,Artificial
Bastia,Bastia,France,Stade Armand Césari,16078,Natural
Guingamp,Guingamp,France,Stade du Roudourou,18363,Natural
FC Gueugnon,Gueugnon,France,Stade Jean Laville,13872,Natural
Chateauroux,Châteauroux,France,Stade Gaston Petit,17072,Artificial
Lorient,Lorient,France,Stade Yves Allainmat - Le Moustoir,18970,Artificial
Troyes,Troyes,France,Stade de l'Aube,20842,Natural
Sedan,Sedán,France,Louis-Dugauguez,24000,Natural
Ajaccio,Ajaccio,France,Stade François Coty,10660,Natural
Le Mans,Mulsanne,France,MMArena,25064,Natural
Istres,Istres,France,Stade Parsemain,17363,Natural
Grenoble,Grenoble,France,Des Alpes,20068,Natural
Boulogne,Boulogne-sur-Mer,France,Stade de la Libération,15242,Natural
Arles,Arles,France,,17500,Natural
Evian Thonon Gail.,Annecy,France,Parc des Sports,15660,Natural
Dijon FCO,Dijon,France,Stade Gaston Gérard,15995,Natural
Stade de Reims,Reims,France,Auguste-Delaune II,21628,Natural
Gazélec Ajaccio,Ajaccio,France,Stade Municipal Ange Casanova Stiletto,4229,Natural
Amiens SC,Amiens,France,Stade de la Licorne,12097,Natural
Charleville,Charleville-M�zi�res,France,,3000,Natural
Épinal,Épinal,France,Stade de La Colombière,7200,Natural
Stade Poitevin,Poitiers,France,Stade de la Pépinière,15750,Natural
Stade Lavallois,Laval,France,Stade Francis Le Basser,18467,Natural
Perpignan,Perpignan,France,,3400,Natural
Dunkerque,Dunkerque,France,Stade Marcel-Tribut,4200,Natural
Valence,Valence,France,,15128,Natural
Red Star,París,France,Stade Bauer,10000,Natural
Louhans Cuiseaux,Louhans,France,Parc des Sports du Bram,8400,Natural
Olympique Alès,Ales,France,Stade Pierre Pibarot,9000,Natural
Niort,Niort,France,Stade René Gaillard,10898,Natural
Stade Briochin,Saint-Brieuc,France,Stade Fred Aubert,13500,Natural
Beauvais Oise,Beauvais,France,Stade Pierre-Brisson,10000,Natural
ES Wasquehal,Wasquehal,France,Complexe Sportif Lucien Montagne,500,Natural
Creteil,rue vasco de gama,France,Stade Dominique Duvauchelle,12050,Natural
Clermont,Clermont-Ferrand,France,Stade Gabriel Montpied,10363,Natural
Besancon RC,Besançon,France,Stade Léo-Lagrange,15000,Natural
FC Rouen 1899,Rouen,France,,12018,Natural
Sète,Sète,France,Stade Louis-Michel,8700,Natural
Libourne Saint Se.,Libourne,France,,8000,Natural
Tours,Tours,France,Stade de la Vallée du Cher,11912,Natural
Vannes,Vannes,France,Stade de la Rabine,9143,Natural
CA Bastia,Furiani,France,,16048,Natural
Orléans,Orléans,France,Stade de la Source,5000,Natural
Paris FC,Paris,France,Stade Sébastien Charléty,20000,Natural
Bourg-Péronnas,Ain,France,Stade Muncipal de Péronnas,2541,Natural
Quevilly,Normandia,France,Stade Robert-Diochon,12018,Natural
Béziers,Béziers,France,Stade de Sauclières,12000,Natural
Rodez,Rodez,France,Stade Paul-Lignon,6000,Natural
Chambly,Chambly,France,Stade des Marais,1000,Natural
Pau FC,Pau,France,Stade du Hameau,13966,Natural
Man. Utd,Manchester,England,Old Trafford,76212,Natural
West Bromwich Albion,West Bromwich,England,The Hawthorns,26850,Natural
Liverpool,Liverpool,England,Anfield,54074,Natural
Tottenham Hotspur,London,England,Tottenham Hotspur Stadium,62062,Natural
Chelsea,London,England,Stamford Bridge,41841,Natural
Aston Villa,Birmingham,England,Villa Park,42788,Natural
Southampton,Southampton,England,St. Mary's Stadium,32689,Natural
Everton,Liverpool,England,Goodison Park,40569,Natural
Arsenal,London,England,Emirates Stadium,60355,Natural
Blackpool,Blackpool,England,Bloomfield Road,17625,Natural
Sporting Braga,Braga,Portugal,Estádio Municipal de Braga,30286,Natural
Benfica,Lisboa,Portugal,Estádio da Luz,65647,Natural
Porto,Oporto,Portugal,Estádio Do Dragão,50948,Natural
Sporting CP,Lisboa,Portugal,José Alvalade,50486,Natural
Chaves,Chaves,Portugal,Estádio Municipal Eng. Manuel Branco Teixeira,12000,Natural
Feirense,Santa Maria da Feira,Portugal,Estádio Marcolino de Castro,4667,Natural
Belenenses,Lisboa,Portugal,Estádio do Restelo,32500,Natural
Beira Mar SC,Aveiro,Portugal,Municipal de Aveiro,30000,Natural
Portimonense,Portimão,Portugal,Estádio do Portimonense SC,9544,Natural
Tirsense,Santo Tirso,Portugal,,12000,Natural
Boavista,Oporto,Portugal,Bessa Século XXI,30000,Natural
Marítimo,Funchal,Portugal,Estádio dos Barreiros,8992,Natural
Estrela Amadora,Amadora,Portugal,,9288,Natural
Vitória,Guimarães,Portugal,Estádio Dom Afonso Henriques,30165,Natural
Penafiel,Penafiel,Portugal,Estádio Municipal 25 de Abril,6500,Natural
União Madeira,Funchal,Portugal,Estádio Municipal de Machico,3300,Natural
Nacional,Madeira,Portugal,Estádio da Madeira,8589,Natural
Vitória Setúbal,Setúbal,Portugal,Estádio do Bonfim,18694,Natural
Farense,Faro,Portugal,Estádio de São Lúis,12000,Natural
Famalicão,Famalicão,Portugal,Estádio Municipal 22 de Junho,8000,Natural
SC Salgueiros,Porto,Portugal,,3500,Natural
Gil Vicente,Barcelos,Portugal,Estádio Cidade de Barcelos,12374,Natural
Paços Ferreira,Paços de Ferreira,Portugal,Estádio da Capital do Móvel,6452,Natural
Torreense,Torres Vedras,Portugal,,12000,Natural
Estoril,Estoril,Portugal,Estádio António Coimbra da Mota,8000,Natural
Espinho,Espinho,Portugal,,7500,Natural
União de Leiria,Leiria,Portugal,Magalhaes Pessoa,30000,Natural
FC Felgueiras,Felgueiras,Portugal,,7540,Natural
Leça FC,Leça,Portugal,,12000,Natural
Campomaiorense,Campo Maior,Portugal,,7500,Natural
Rio Ave,Vila do Conde,Portugal,Estádio do Rio Ave Futebol Clube,12815,Natural
Académica,Coimbra,Portugal,Estádio Cidade de Coimbra,30075,Natural
Varzim,Varzim,Portugal,,11000,Natural
Alverca,Alverca,Portugal,Complexo Desportivo do FC Alverca,15000,Natural
CD Santa Clara,Ponta Delgada,Portugal,Estádio de São Miguel,13277,Natural
Desportivo Aves,Vila das Aves,Portugal,Estádio Clube Desportivo das Aves,8560,Natural
Moreirense,Moreira de Cónegos,Portugal,Comendador Joaquim Almeida Freitas,9000,Natural
Naval,Cantabria,Portugal,,1500,Natural
Leixões,Matosinhos,Portugal,Estádio do Mar,9730,Natural
Trofense,Trofa,Portugal,Estádio do Clube Desportivo Trofense,5074,Natural
Olhanense,Olhão,Portugal,Estádio José Arcanjo,11662,Natural
Arouca,Arouca,Portugal,Estádio Municipal de Arouca,2500,Natural
Tondela,Tondela,Portugal,João Cardoso,7500,Natural
Real Madrid,Madrid,Spain,Santiago Bernabéu,85454,Natural
Osasuna,Pamplona,Spain,El Sadar,18761,Natural
Atlético,Madrid,Spain,Wanda Metropolitano,68000,Natural
Real Valladolid,Valladolid,Spain,Municipal José Zorrilla,26512,Natural
CD Logroñés,Logroño,Spain,,16000,Natural
Sevilla,Sevilla,Spain,Ramón Sánchez Pizjuán,42714,Natural
Athletic,Bilbao,Spain,San Mamés,53332,Natural
Real Zaragoza,Zaragoza,Spain,La Romareda,34596,Natural
CD Málaga,Málaga,Spain,,30044,Natural
Real Oviedo,Oviedo,Spain,Carlos Tartiere,30500,Natural
CD Castellón,Castellon de la Plana,Spain,Municipal de Castalia,15700,Natural
Celta,Vigo,Spain,Abanca Balaídos,28700,Natural
Valencia,Valencia,Spain,Mestalla,55000,Natural
Barcelona,Barcelona,Spain,Camp Nou,99787,Natural
Real Sporting,Gijón,Spain,El Molinón-Enrique Castro Quini,30000,Natural
R. Sociedad,San Sebastián,Spain,Anoeta,32076,Natural
Cádiz,Cádiz,Spain,Nuevo Ramón de Carranza,25033,Natural
Mallorca,Palma de Mallorca,Spain,Visit Mallora Estadi,23142,Natural
Tenerife,Santa Cruz de Tenerife,Spain,Heliodoro Rodríguez López,24000,Natural
Rayo Vallecano,Puente de vallecas,Spain,Vallecas,15500,Natural
Real Burgos CF,Burgos,Spain,San Amaro,1000,Natural
Real Betis,Sevilla,Spain,Benito Villamarín,60721,Natural
Espanyol,Cornellá de Llobregat,Spain,RCDE Stadium,40423,Natural
Albacete,Albacete,Spain,Carlos Belmonte,17200,Natural
Deportivo,La Coruña,Spain,Municipal Riazor,34600,Natural
SD Amorebieta,Amorebieta-Echano,Spain,Campo Municipal de Urritxe,1350,Natural
Racing,Santander,Spain,Campos de Sport de El Sardinero,22222,Natural
Lleida,Lleida,Spain,,13500,Natural
Compostela,Santiago de Compostela,Spain,Estadio Municipal Vero Boquete de San Lázaro,13000,Natural
Mérida CP,Mérida ,Spain,,14600,Natural
UD Salamanca,Salamanca,Spain,Helmántico,17341,Natural
Hércules,Alicante,Spain,José Rico Pérez,29500,Natural
CF Extremadura,Almendralejo,Spain,,11580,Natural
Alavés,Vitoria,Spain,Mendizorroza,19940,Natural
